jou_id,jou_dftLicense,jou_name
0102-6720,by-nc/4.0,ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)
0044-5967,by-nc/4.0,Acta Amazonica
0102-3306,by-nc/4.0,Acta Botanica Brasilica
0102-8650,by-nc/4.0,Acta Cirurgica Brasileira
2179-975X,by-nc/4.0,Acta Limnologica Brasiliensia
1413-7852,by-nc/4.0,Acta Ortopédica Brasileira
0103-2100,by-nc/4.0,Acta Paulista de Enfermagem
1807-8621,by/4.0,Acta Scientiarum. Agronomy
1807-8672,by/4.0,Acta Scientiarum. Animal Sciences
0002-0591,by-nc/4.0,Afro-Ásia
1516-1498,by/4.0,Ágora: Estudos em Teoria Psicanalítica
1517-106X,by-nc/4.0,Alea : Estudos Neolatinos
1981-5794,by/4.0,Alfa : Revista de Linguística (São José do Rio Preto)
1414-753X,by-nc/4.0,Ambiente & Sociedade
1678-8621,by/4.0,Ambiente Construído
0365-0596,by-nc/4.0,Anais Brasileiros de Dermatologia
0001-3765,by-nc/4.0,Anais da Academia Brasileira de Ciências
0071-1276,by-nc/4.0,Anais da Escola Superior de Agricultura Luiz de Queiroz
0301-8059,by-nc/4.0,Anais da Sociedade Entomológica do Brasil
0101-4714,by-nc/4.0,Anais do Museu Paulista: História e Cultura Material
0101-6083,by-nc/4.0,Archives of Clinical Psychiatry
2359-3997,by-nc/4.0,Archives of Endocrinology and Metabolism
0102-0935,by-nc/4.0,Arquivo Brasileiro de Medicina Veterinária e Zootecnia
0066-782X,by-nc/4.0,Arquivos Brasileiros de Cardiologia
0004-2730,by-nc/4.0,Arquivos Brasileiros de Endocrinologia & Metabologia
0004-2749,by-nc/4.0,Arquivos Brasileiros de Oftalmologia
0004-2803,by-nc/4.0,Arquivos de Gastroenterologia
0004-282X,by-nc/4.0,Arquivos de Neuro-Psiquiatria
1808-1657,by-nc/4.0,Arquivos do Instituto Biológico
1809-4872,by-nc/4.0,Arquivos Internacionais de Otorrinolaringologia
1678-5320,by-nc/4.0,ARS (São Paulo)
2317-6431,by-nc/4.0,Audiology - Communication Research
1414-4077,by-nc/4.0,Avaliação: Revista da Avaliação da Educação Superior (Campinas)
2176-4573,by/4.0,Bakhtiniana: Revista de Estudos do Discurso
1807-7692,by-nc/4.0,BAR - Brazilian Administration Review
1676-0603,by-nc/4.0,Biota Neotropica
0103-636X,by-nc/4.0,Bolema: Boletim de Educação Matemática
1982-2170,by/4.0,Boletim de Ciências Geodésicas
0373-5524,by-nc/4.0,Boletim do Instituto Oceanográfico
0100-4239,by-nc/4.0,Boletim do Instituto Paulista de Oceanografia
1981-8122,by-nc/4.0,Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas
0006-8705,by-nc/4.0,Bragantia
1516-8913,by-nc/4.0,Brazilian Archives of Biology and Technology
0103-6440,by-nc/4.0,Brazilian Dental Journal
1519-6984,by-nc/4.0,Brazilian Journal of Biology
0100-8404,by-nc/4.0,Brazilian Journal of Botany
0104-6632,by-nc/4.0,Brazilian Journal of Chemical Engineering
1981-6723,by/4.0,Brazilian Journal of Food Technology
0100-8455,by-nc/4.0,Brazilian Journal of Genetics
2317-4889,by-nc/4.0,Brazilian Journal of Geology
1413-8670,by-nc-nd/4.0,Brazilian Journal of Infectious Diseases
0100-879X,by/4.0,Brazilian Journal of Medical and Biological Research
1517-8382,by-nc/4.0,Brazilian Journal of Microbiology
1679-8759,by-nc/4.0,Brazilian Journal of Oceanography
1677-3225,by-nc/4.0,Brazilian Journal of Oral Sciences
1808-8694,by-nc-nd/4.0,Brazilian Journal of Otorhinolaryngology
1984-8250,by-nc/4.0,Brazilian Journal of Pharmaceutical Sciences
1413-3555,by-nc/4.0,Brazilian Journal of Physical Therapy
